DensityX,Composition,Time s,Temperature °C,Shear Rate 1/s,Shear Stress Pa,Instantaneous Viscosity Pas,Strain  
1.74,10,167.1,25,329.1,146.5,0.445,9.50E+04
1.74,10,169.1,25,309.2,143.7,0.4647,9.56E+04
1.74,10,171.1,25,289.4,139.6,0.4824,9.62E+04
1.74,10,173.1,25,269.6,137.8,0.5112,9.67E+04
1.74,10,175.1,25,249.3,130.5,0.5233,9.72E+04
1.74,10,177.1,25,229.5,125.9,0.5484,9.77E+04
1.74,10,179.1,25,209.7,120.7,0.5757,9.81E+04
1.74,10,181.1,25,189.9,113.7,0.5991,9.85E+04
1.74,10,183.1,25,170,109.5,0.644,9.88E+04
1.74,10,185.1,25,150.2,100.1,0.6664,9.91E+04
1.74,10,187.1,25,129.9,89.82,0.6914,9.94E+04
1.74,10,189.1,25,110.1,79.72,0.7242,9.96E+04
1.74,10,191.1,25,90.25,76.06,0.8427,9.98E+04
1.74,10,193.1,25,70.44,77.91,1.106,9.99E+04
1.74,10,195.1,25,50.62,66.62,1.316,1.00E+05
1.74,10,197.1,25,30.31,54.02,1.782,1.00E+05
1.74,10,199.1,25,10.49,35.66,3.401,1.00E+05
1.74,10,1.004,25,9.517,197.8,20.79,19.05
1.74,10,3.008,25,29.25,193.7,6.623,77.71
1.74,10,5.009,25,49.07,178.2,3.631,178
1.74,10,7.008,25,68.89,183.7,2.666,315.3
1.74,10,9.007,25,88.71,187.9,2.118,494.9
1.74,10,11.01,25,108.5,172.6,1.591,714.8
1.74,10,13.01,25,128.8,159.8,1.24,974.9
1.74,10,15.01,25,148.7,159.1,1.07,1270
1.74,10,17.01,25,168.5,151.1,0.8967,1613
1.74,10,19.01,25,188.3,145.1,0.7707,1991
1.74,10,21.01,25,208.6,151.5,0.7263,2411
1.74,10,23.01,25,228.4,157.1,0.6877,2869
1.74,10,25.01,25,248.3,151.7,0.611,3370
1.74,10,27.01,25,268.1,154,0.5744,3911
1.74,10,29.01,25,287.9,152.7,0.5303,4488
1.74,10,31.01,25,308.2,150.3,0.4878,5109
1.74,10,33.01,25,328,148.4,0.4525,5765
1.74,10,35.01,25,347.9,144.9,0.4166,6467
1.74,10,37.01,25,367.6,141.3,0.3844,7203
1.74,10,39.01,25,387.5,137.4,0.3546,7985
1.74,10,41.01,25,407.3,133.7,0.3283,8801
1.74,10,43.01,25,427.6,130.6,0.3055,9663
1.74,10,45.01,25,447.4,130,0.2906,1.06E+04
1.74,10,47.03,25,467.8,123.8,0.2648,1.15E+04
1.74,10,49.03,25,487.1,122.3,0.2511,1.25E+04
1.74,10,51.01,25,506.9,120.5,0.2377,1.35E+04
1.74,10,53.01,25,526.7,119.6,0.227,1.46E+04
1.74,10,55.01,25,547.1,117.4,0.2146,1.57E+04
1.74,10,57.01,25,566.9,116.1,0.2047,1.68E+04
1.74,10,59.03,25,587.2,114.5,0.195,1.80E+04
1.74,10,61.03,25,606.5,114.8,0.1893,1.92E+04
1.74,10,63.01,25,626.3,112.6,0.1798,2.05E+04
1.74,10,65.03,25,646.6,111.7,0.1728,2.18E+04
1.74,10,67.03,25,666.4,110.2,0.1653,2.31E+04
1.74,10,69.01,25,686.3,110.4,0.1609,2.45E+04
1.74,10,71.03,25,706.5,109.6,0.1552,2.59E+04
1.74,10,73.03,25,725.9,109.5,0.1508,2.74E+04
1.74,10,75.01,25,745.7,108.7,0.1457,2.88E+04
1.74,10,77.03,25,766.1,108,0.141,3.04E+04
1.74,10,79.03,25,785.9,107.7,0.1371,3.20E+04
1.74,10,81.01,25,805.6,107.1,0.1329,3.36E+04
1.74,10,83.03,25,826.1,88.35,0.107,3.53E+04
1.74,10,85.03,25,845.3,103.1,0.122,3.69E+04
1.74,10,87.01,25,865.2,105.9,0.1224,3.87E+04
1.74,10,89.03,25,885.5,105.9,0.1196,4.05E+04
1.74,10,91.03,25,905.3,105.6,0.1167,4.23E+04
1.74,10,93.01,25,925.1,105.6,0.1141,4.41E+04
1.74,10,95.03,25,945.5,105.2,0.1113,4.61E+04
1.74,10,97.03,25,964.8,104.9,0.1088,4.80E+04
1.74,10,99.01,25,985.1,104.9,0.1065,5.00E+04
1.74,10,101,25,986.1,102.3,0.1037,5.20E+04
1.74,10,103.1,25,966.3,100.6,0.1041,5.39E+04
1.74,10,105.1,25,946.5,99.19,0.1048,5.58E+04
1.74,10,107.1,25,926.6,97.82,0.1056,5.77E+04
1.74,10,109.1,25,906.8,97.11,0.1071,5.95E+04
1.74,10,111.1,25,886.5,96.34,0.1087,6.13E+04
1.74,10,113.1,25,866.6,95.65,0.1104,6.30E+04
1.74,10,115.1,25,846.9,94.53,0.1116,6.47E+04
1.74,10,117.1,25,827,93.86,0.1135,6.64E+04
1.74,10,119.1,25,807.2,92.85,0.115,6.80E+04
1.74,10,121.1,25,787.4,91.39,0.1161,6.96E+04
1.74,10,123.1,25,767.1,92.04,0.12,7.11E+04
1.74,10,125.1,25,747.2,90.83,0.1216,7.26E+04
1.74,10,127.1,25,727.4,90.05,0.1238,7.41E+04
1.74,10,129.1,25,707.6,89.6,0.1266,7.55E+04
1.74,10,131.1,25,687.3,88.52,0.1288,7.69E+04
1.74,10,133.1,25,667.5,87.99,0.1318,7.82E+04
1.74,10,135.1,25,647.6,86.89,0.1342,7.95E+04
1.74,10,137.1,25,627.9,86.65,0.138,8.08E+04
1.74,10,139.1,25,608,86.37,0.1421,8.20E+04
1.74,10,141.1,25,588.2,84.61,0.1438,8.32E+04
1.74,10,143.1,25,567.9,84.15,0.1482,8.44E+04
1.74,10,145.1,25,548.1,83.57,0.1525,8.55E+04
1.74,10,147.1,25,528.3,82.75,0.1566,8.65E+04
1.74,10,149.1,25,508.4,81.68,0.1607,8.75E+04
1.74,10,151.1,25,488.6,81.48,0.1667,8.85E+04
1.74,10,153.1,25,468.8,79.52,0.1696,8.95E+04
1.74,10,155.1,25,448.5,79.83,0.178,9.04E+04
1.74,10,157.1,25,428.7,79.25,0.1849,9.12E+04
1.74,10,159.1,25,408.8,77.51,0.1896,9.20E+04
1.74,10,161.1,25,389,77.09,0.1982,9.28E+04
1.74,10,163.1,25,368.7,76.61,0.2078,9.36E+04
1.74,10,165.1,25,348.9,75.43,0.2162,9.43E+04
1.74,10,167.1,25,329.1,75.95,0.2308,9.49E+04
1.74,10,169.1,25,309.2,72.1,0.2332,9.55E+04
1.74,10,171.1,25,289.4,69.25,0.2393,9.61E+04
1.74,10,173.1,25,269.6,67.1,0.2489,9.67E+04
1.74,10,175.1,25,249.3,66.43,0.2665,9.72E+04
1.74,10,177.1,25,229.5,65.14,0.2839,9.76E+04
1.74,10,179.1,25,209.6,64.2,0.3062,9.81E+04
1.74,10,181.1,25,189.9,61.76,0.3253,9.84E+04
1.74,10,183.1,25,170,59.05,0.3473,9.88E+04
1.74,10,185.1,25,150.2,56.31,0.3749,9.91E+04
1.74,10,187.1,25,129.9,51.96,0.4,9.93E+04
1.74,10,189.1,25,110.1,48.19,0.4378,9.96E+04
1.74,10,191.1,25,90.24,41.89,0.4642,9.97E+04
1.74,10,193.1,25,70.42,35.25,0.5005,9.99E+04
1.74,10,195.1,25,50.6,29.08,0.5746,1.00E+05
1.74,10,197.1,25,30.29,24.05,0.7941,1.00E+05
1.74,10,199.1,25,10.46,13.82,1.32,1.00E+05
1.74,20,1.004,25,9.554,189.7,19.85,19.04
1.74,20,3.013,25,29.25,101.4,3.466,78.35
1.74,20,5.013,25,49.07,90.94,1.853,178
1.74,20,7.008,25,68.89,102,1.481,315.3
1.74,20,9.012,25,89.21,103.5,1.161,496.5
1.74,20,11.01,25,108.5,77.87,0.7175,712.8
1.74,20,13.01,25,128.9,74.08,0.5749,974.9
1.74,20,15.01,25,148.7,69.06,0.4645,1273
1.74,20,17.01,25,168.5,61.64,0.3659,1610
1.74,20,19.01,25,188.3,61.38,0.326,1991
1.74,20,21.01,25,208.6,56.96,0.273,2411
1.74,20,23.01,25,228.4,54.47,0.2384,2869
1.74,20,25.01,25,248.3,50.91,0.2051,3370
1.74,20,27.01,25,268.1,45.48,0.1697,3911
1.74,20,29.01,25,287.9,40.08,0.1392,4488
1.74,20,31.01,25,308.2,39.12,0.1269,5109
1.74,20,33.01,25,328,39.98,0.1219,5765
1.74,20,35.01,25,347.9,40.91,0.1176,6467
1.74,20,37.01,25,367.7,38.75,0.1054,7203
1.74,20,39.01,25,387.5,38.97,0.1006,7985
1.74,20,41.01,25,407.3,39.4,0.09673,8801
1.74,20,43.01,25,427.7,36.91,0.08631,9663
1.74,20,45.01,25,447.5,36.99,0.08268,1.06E+04
1.74,20,47.01,25,467.3,37.25,0.07972,1.15E+04
1.74,20,49.01,25,487.1,36.4,0.07473,1.25E+04
1.74,20,51.01,25,506.9,36.13,0.07128,1.35E+04
1.74,20,53.01,25,526.8,35.36,0.06712,1.46E+04
1.74,20,55.01,25,547,36.58,0.06687,1.57E+04
1.74,20,57.01,25,566.9,36.36,0.06414,1.68E+04
1.74,20,59.01,25,586.7,36.41,0.06206,1.80E+04
1.74,20,61.01,25,606.5,35.92,0.05922,1.92E+04
1.74,20,63.01,25,626.3,36.51,0.0583,2.05E+04
1.74,20,65.01,25,646.6,36.51,0.05646,2.18E+04
1.74,20,67.01,25,666.4,36.93,0.05542,2.31E+04
1.74,20,69.01,25,686.3,36.32,0.05293,2.45E+04
1.74,20,71.01,25,706.1,36.49,0.05168,2.59E+04
1.74,20,73.01,25,725.9,36.61,0.05044,2.74E+04
1.74,20,75.01,25,745.7,36.02,0.0483,2.88E+04
1.74,20,77.01,25,766.1,36.16,0.04719,3.04E+04
